VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,trip_duration_sec,year_week,year_month
2,2021-12-31 23:52:28,2021-12-31 23:59:42,1.0,1.45,1.0,N,238,263,1,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5,0.0,434.0,2021-052,2021-12
2,2021-12-31 23:59:23,2022-01-01 00:02:27,2.0,1.06,1.0,N,79,137,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0,184.0,2021-052,2021-12
2,2021-12-31 23:57:54,2022-01-01 00:03:07,1.0,1.13,1.0,N,148,107,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0,313.0,2021-052,2021-12
2,2021-12-31 23:57:35,2022-01-01 00:12:11,2.0,4.1,1.0,N,249,140,1,14.0,0.5,0.5,5.34,0.0,0.3,23.14,2.5,0.0,876.0,2021-052,2021-12
2,2021-12-31 23:58:55,2022-01-01 00:26:45,1.0,9.43,1.0,N,137,188,2,29.5,0.5,0.5,0.0,0.0,0.3,33.3,2.5,0.0,1670.0,2021-052,2021-12
2,2021-12-31 23:57:19,2022-01-01 00:33:38,5.0,21.13,1.0,N,132,181,1,58.5,0.5,0.5,18.32,0.0,0.3,79.37,0.0,1.25,2179.0,2021-052,2021-12
2,2021-12-31 23:18:41,2021-12-31 23:22:44,5.0,1.3,1.0,N,140,75,1,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5,0.0,243.0,2021-052,2021-12
2,2021-12-31 23:30:20,2021-12-31 23:49:07,5.0,4.34,1.0,N,263,68,1,16.0,0.5,0.5,3.96,0.0,0.3,23.76,2.5,0.0,1127.0,2021-052,2021-12
2,2021-12-31 23:57:19,2022-01-01 00:07:19,1.0,1.32,1.0,N,137,186,1,8.0,0.5,0.5,2.5,0.0,0.3,14.3,2.5,0.0,600.0,2021-052,2021-12
2,2021-12-31 23:58:21,2022-01-01 00:06:47,1.0,1.62,1.0,N,239,48,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0,506.0,2021-052,2021-12
2,2021-12-31 23:58:30,2022-01-01 00:06:10,2.0,1.32,1.0,N,211,231,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0,460.0,2021-052,2021-12
2,2021-12-31 23:56:26,2022-01-01 00:04:58,1.0,2.18,1.0,N,237,75,1,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5,0.0,512.0,2021-052,2021-12
2,2021-12-31 23:54:56,2021-12-31 23:55:02,2.0,0.0,1.0,N,164,164,1,2.5,0.5,0.5,0.0,0.0,0.3,6.3,2.5,0.0,6.0,2021-052,2021-12
2,2021-12-31 23:59:30,2022-01-01 00:02:57,5.0,0.74,1.0,N,140,141,1,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5,0.0,207.0,2021-052,2021-12
2,2021-12-31 23:05:27,2021-12-31 23:12:52,1.0,0.79,1.0,N,144,79,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0,445.0,2021-052,2021-12
2,2021-12-31 23:24:49,2021-12-31 23:35:30,1.0,0.33,1.0,N,186,100,1,7.5,0.5,0.5,1.7,0.0,0.3,13.0,2.5,0.0,641.0,2021-052,2021-12
2,2021-12-31 23:55:51,2021-12-31 23:59:31,1.0,1.44,1.0,N,236,41,2,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5,0.0,220.0,2021-052,2021-12
2,2021-12-31 23:04:32,2021-12-31 23:13:57,5.0,2.68,1.0,N,107,237,2,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5,0.0,565.0,2021-052,2021-12
2,2021-12-31 23:16:23,2021-12-31 23:35:10,5.0,4.93,1.0,N,141,42,2,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5,0.0,1127.0,2021-052,2021-12
2,2021-12-31 23:46:12,2021-12-31 23:51:54,5.0,0.98,1.0,N,41,41,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,0.0,0.0,342.0,2021-052,2021-12
2,2021-12-31 23:52:43,2021-12-31 23:57:35,5.0,0.7,1.0,N,41,42,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0,0.0,292.0,2021-052,2021-12
2,2021-12-31 23:59:43,2022-01-01 00:08:22,1.0,1.59,1.0,N,239,236,1,8.5,0.5,0.5,5.0,0.0,0.3,17.3,2.5,0.0,519.0,2021-052,2021-12
2,2021-12-31 23:58:16,2022-01-01 00:28:19,3.0,12.41,1.0,N,79,169,1,36.5,0.5,0.5,5.0,0.0,0.3,45.3,2.5,0.0,1803.0,2021-052,2021-12
2,2021-12-31 20:28:31,2021-12-31 20:33:09,1.0,2.77,1.0,N,132,10,1,9.0,0.5,0.5,1.0,0.0,0.3,11.3,0.0,0.0,278.0,2021-052,2021-12
2,2008-12-31 23:03:01,2008-12-31 23:06:56,2.0,0.72,1.0,N,41,41,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8,0.0,0.0,235.0,2008-052,2008-12
2,2009-01-01 00:46:11,2009-01-01 00:46:15,1.0,0.0,2.0,N,100,100,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8,0.0,0.0,4.0,2009-000,2009-01
